id_obj,disposition,pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,st_tmag,ra,dec,st_dist
1000.01,FALSE POSITIVE,5.8181633,3127.204052,2.1713484,10249,2.16986,4.19,9.604,112.357708,-12.69596,485.735
1001.01,CANDIDATE,11.2154,4045,1.9316462,7070,2.01,4.03,9.42344,122.580465,-5.513852,295.862
1004.01,FALSE POSITIVE,11.3113,4260,3.5730141,9219,2.15,4.14,9.1355,122.178195,-48.802811,356.437
1007.01,CANDIDATE,14.7752,1282,6.9989206,6596,2.7,3.71,8.87759,112.752393,-4.463359,283.291
101.01,CONFIRMED,13.1874503,1525.904809,1.4303699,5600,0.890774,4.48851,12.4069,318.737012,-55.871863,375.31
1011.01,CANDIDATE,1.44656,1364,2.4704981,5413.7,0.94,4.46,8.2388,113.984761,-32.841999,52.62
1012.01,CANDIDATE,24.8132,5098,0.884182,8928,2.72,3.92,8.12718,117.095285,6.785064,295.959
1016.01,FALSE POSITIVE,14.0608342,1158.131037,12.6889415,7601,1.53641,4.31,10.6257,116.110771,-36.098285,368.646
1017.01,FALSE POSITIVE,21.0448,3926,1.10422,6995.2,1.61,4.07,10.6019,124.726411,-37.78325,406.997
1018.01,FALSE POSITIVE,22.9123,1419,4.95912,5889,2,3.86,10.6254,111.716019,-50.266567,360.541
1019.01,CANDIDATE,24.2931408,1574.838185,5.2341008,7645,1.56203,4.3,10.6348,120.147994,-54.878552,399.544
102.01,CONFIRMED,15.4706,1408,4.4119378,6280,1.21,4.32092,9.7109,87.139821,-63.988329,175.631
1021.01,FALSE POSITIVE,3.34688,1561,1.90879,6022.6,1.22,4.52,10.5551,119.30075,-42.999149,235.974
1022.01,REFUTED,3.4262,3230,3.09574,6084,1.41,4.13,8.72924,162.96491,-5.788708,120.666
1023.01,FALSE POSITIVE,21.8839,3827,1.3214483,5050.8,2.99,3.56,9.697,120.837688,-51.345626,316.398
1026.01,FALSE POSITIVE,2.4765813,980.3628831,14.2628757,5690,0.853898,4.58,9.9138,125.434634,-51.759442,105.677
1027.01,CANDIDATE,2.87648,992,3.2834565,4272,0.68,4.6,10.2103,167.133275,-29.653135,56.3449
1027.02,CANDIDATE,2.76586,548,11.02875,4272,0.68,4.6,10.2103,167.133275,-29.653135,56.3449
1027.03,CANDIDATE,2.52314,567,5.0113292,4272,0.68,4.6,10.2103,167.133275,-29.653135,56.3449
1028.01,FALSE POSITIVE,1.20704,2023,1.01606,4634,0.68,4.64,7.9059,157.098337,-51.705409,23.7748
103.01,CONFIRMED,14.581841,1504.858953,3.547854,6351,1.4,4.22896,11.5232,312.457488,-24.428694,411.211
1030.01,FALSE POSITIVE,17.6729,1057,12.1246519,4807.6,1.07,4.17,9.5706,155.831478,-57.590248,78.41273
1031.01,FALSE POSITIVE,8.94354,2011,5.652623,6415.4,1.92,3.98,9.7318,140.88389,-67.026006,270.771
1032.01,CANDIDATE,14.7738943,2385.853649,5.6643704,10395,2.3383701,4.13,9.7611,159.221506,-42.541639,587.196
1034.01,FALSE POSITIVE,3.7025342,2783.098027,3.6404389,9810,1.60776,4.43,9.8174,134.441752,-49.000578,363.44
1035.01,CANDIDATE,30.9493217,1583.93989,6.0744477,5964,2.4303801,3.7,10.1126,144.150273,-61.583182,347.556
1036.01,CANDIDATE,5.98375,1294,3.7795212,5771,1.18,4.31,10.2855,157.867112,-42.240448,184.015
1037.01,FALSE POSITIVE,6.31106,5952,1.2025238,9158,1.74,4.32,9.0211,147.385172,-63.306478,279.698
104.01,CONFIRMED,13.6237732,1755.076738,4.0872956,6036,2.2186699,3.93359,9.8638,319.949697,-58.148933,316.678
1041.01,FALSE POSITIVE,43.1068,1924,8.30792,9081,3.05,3.83,8.0981,138.402252,-55.19791,305.034
1042.01,CANDIDATE,10.1273702,5499.747633,0.758082,9917,3.5086601,3.75,9.718,141.975215,-61.33004,792.633
1043.01,FALSE POSITIVE,3.61078,3174,1.4415577,6902,1.52,4.25,9.5719,128.302319,-52.714202,208.055
1045.01,FALSE POSITIVE,17.57,2149,3.7039994,7013.8,1.9,4.21,9.6306,159.887704,-32.51188,300.696
1046.01,FALSE POSITIVE,9.36472,3569,1.3042553,6762,1.75,4.11,10.0119,126.419468,-60.907514,301.298
1047.01,FALSE POSITIVE,5.72162,2101,0.62627,5622,0.93,4.5,10.2355,144.581535,-67.505097,134.926
1048.01,FALSE POSITIVE,10.417,6413,0.30412,11892,2.52,4.14,8.802,136.527702,-54.903922,440.426
1049.01,CONFIRMED,16.808853,1654.404068,2.1805277,6599,1.2714601,4.21017,11.0657,253.768848,-28.710584,314.995
105.01,CONFIRMED,13.7028527,1549.44098,2.1846669,5630,1.23824,4.37759,9.4995,337.457824,-48.003099,137.544
1050.01,CONFIRMED,21.2315,1670,3.7354838,6650,1.57,4.1639,11.0261,239.962248,-28.061794,405.908
1051.01,REFUTED,2.3751494,685.2,21.701669,5625,1.56486,4.438,7.1278,40.365939,-71.462749,53.19149
